Module,Version
avm/res/aad/domain-service,0.6.0
avm/res/alerts-management/action-rule,0.2.4
avm/res/analysis-services/server,0.3.5
avm/res/api-management/service,0.14.0
avm/res/app-configuration/configuration-store,0.9.2
avm/res/app/container-app,0.20.0
avm/res/app/job,0.7.1
avm/res/app/managed-environment,0.11.3
avm/res/app/session-pool,0.3.0
avm/res/automation/automation-account,0.17.1
avm/res/azure-stack-hci/cluster,0.2.0
avm/res/azure-stack-hci/logical-network,0.2.1
avm/res/azure-stack-hci/marketplace-gallery-image,0.1.0
avm/res/azure-stack-hci/network-interface,0.1.1
avm/res/azure-stack-hci/virtual-hard-disk,0.1.0
avm/res/azure-stack-hci/virtual-machine-instance,0.1.1
avm/res/batch/batch-account,0.11.2
avm/res/cache/redis,0.16.4
avm/res/cache/redis-enterprise,0.5.0
avm/res/cdn/profile,0.17.1
avm/res/cognitive-services/account,0.14.1
avm/res/communication/communication-service,0.4.2
avm/res/communication/email-service,0.4.3
avm/res/compute/availability-set,0.2.3
avm/res/compute/disk,0.6.0
avm/res/compute/disk-encryption-set,0.6.0
avm/res/compute/gallery,0.9.4
avm/res/compute/image,0.3.3
avm/res/compute/proximity-placement-group,0.4.1
avm/res/compute/ssh-public-key,0.4.4
avm/res/compute/virtual-machine,0.21.0
avm/res/compute/virtual-machine-scale-set,0.11.0
avm/res/consumption/budget,0.3.8
avm/res/container-instance/container-group,0.7.0
avm/res/container-registry/registry,0.10.0
avm/res/container-service/managed-cluster,0.12.0
avm/res/data-factory/factory,0.11.0
avm/res/data-protection/backup-vault,0.13.0
avm/res/databricks/access-connector,0.4.3
avm/res/databricks/workspace,0.12.0
avm/res/db-for-my-sql/flexible-server,0.10.1
avm/res/db-for-postgre-sql/flexible-server,0.15.1
avm/res/desktop-virtualization/application-group,0.4.1
avm/res/desktop-virtualization/host-pool,0.8.1
avm/res/desktop-virtualization/scaling-plan,0.4.1
avm/res/desktop-virtualization/workspace,0.9.1
avm/res/dev-center/devcenter,0.1.1
avm/res/dev-center/network-connection,0.1.1
avm/res/dev-center/project,0.1.1
avm/res/dev-ops-infrastructure/pool,0.7.0
avm/res/dev-test-lab/lab,0.5.0
avm/res/digital-twins/digital-twins-instance,0.4.2
avm/res/document-db/database-account,0.18.0
avm/res/document-db/mongo-cluster,0.4.2
avm/res/elastic-san/elastic-san,0.5.0
avm/res/event-grid/domain,0.8.3
avm/res/event-grid/namespace,0.7.3
avm/res/event-grid/system-topic,0.6.4
avm/res/event-grid/topic,0.9.2
avm/res/event-hub/namespace,0.14.0
avm/res/fabric/capacity,0.1.2
avm/res/health-bot/health-bot,0.3.2
avm/res/healthcare-apis/workspace,0.4.4
avm/res/hybrid-compute/gateway,0.1.1
avm/res/hybrid-compute/license,0.1.0
avm/res/hybrid-compute/machine,0.4.2
avm/res/hybrid-container-service/provisioned-cluster-instance,0.2.1
avm/res/insights/action-group,0.8.0
avm/res/insights/activity-log-alert,0.4.2
avm/res/insights/component,0.7.1
avm/res/insights/data-collection-endpoint,0.5.1
avm/res/insights/data-collection-rule,0.10.0
avm/res/insights/diagnostic-setting,0.1.4
avm/res/insights/metric-alert,0.4.1
avm/res/insights/private-link-scope,0.7.2
avm/res/insights/scheduled-query-rule,0.6.0
avm/res/insights/webtest,0.3.2
avm/res/key-vault/vault,0.13.3
avm/res/kubernetes-configuration/extension,0.3.8
avm/res/kubernetes-configuration/flux-configuration,0.3.8
avm/res/kubernetes-runtime/load-balancer,0.1.1
avm/res/kubernetes/connected-cluster,0.1.1
avm/res/kusto/cluster,0.9.1
avm/res/load-test-service/load-test,0.4.3
avm/res/logic/workflow,0.5.3
avm/res/machine-learning-services/registry,0.1.1
avm/res/machine-learning-services/workspace,0.13.0
avm/res/maintenance/configuration-assignment,0.2.0
avm/res/maintenance/maintenance-configuration,0.3.2
avm/res/managed-identity/user-assigned-identity,0.5.0
avm/res/managed-services/registration-definition,0.1.2
avm/res/management/management-group,0.1.2
avm/res/management/service-group,0.1.1
avm/res/maps/account,0.2.1
avm/res/net-app/net-app-account,0.12.0
avm/res/network/application-gateway,0.8.0
