Module,Version
avm/ptn/aca-lza/hosting-environment,0.6.2
avm/ptn/ai-ml/ai-foundry,0.6.0
avm/ptn/ai-platform/baseline,0.8.0
avm/ptn/alz/ama,0.1.1
avm/ptn/alz/empty,0.3.6
avm/ptn/app-service-lza/hosting-environment,0.1.1
avm/ptn/app/container-job-toolkit,0.1.3
avm/ptn/app/iaas-vm-cosmosdb-tier4,0.1.0
avm/ptn/authorization/pim-role-assignment,0.1.2
avm/ptn/authorization/policy-assignment,0.5.3
avm/ptn/authorization/policy-exemption,0.2.0
avm/ptn/authorization/resource-role-assignment,0.1.2
avm/ptn/authorization/role-assignment,0.2.4
avm/ptn/authorization/role-definition,0.1.1
avm/ptn/azd/acr-container-app,0.4.0
avm/ptn/azd/aks,0.2.0
avm/ptn/azd/aks-automatic-cluster,0.3.0
avm/ptn/azd/apim-api,0.1.1
avm/ptn/azd/container-app-upsert,0.3.0
avm/ptn/azd/container-apps-stack,0.3.0
avm/ptn/azd/insights-dashboard,0.1.2
avm/ptn/azd/monitoring,0.2.1
avm/ptn/data/private-analytical-workspace,0.1.2
avm/ptn/deployment-script/import-image-to-acr,0.4.4
avm/ptn/dev-ops/cicd-agents-and-runners,0.3.1
avm/ptn/finops-toolkit/finops-hub,0.1.1
avm/ptn/lz/sub-vending,0.5.3
avm/ptn/mgmt-groups/subscription-placement,0.3.0
avm/ptn/network/hub-networking,0.5.0
avm/ptn/network/private-link-private-dns-zones,0.7.2
avm/ptn/policy-insights/remediation,0.1.0
avm/ptn/sa/chat-with-your-data,0.2.0
avm/ptn/sa/content-processing,0.2.0
avm/ptn/sa/conversation-knowledge-mining,0.2.0
avm/ptn/sa/document-knowledge-mining,0.2.0
avm/ptn/sa/modernize-your-code,0.2.0
avm/ptn/sa/multi-agent-custom-automation-engine,0.2.0
avm/ptn/security/security-center,0.1.1
avm/ptn/subscription/service-health-alerts,0.1.1
avm/ptn/virtual-machine-images/azure-image-builder,0.2.2
